date	total	active
2009-08-13	135	28
2009-08-14 	135 	28
2009-08-15 	136 	30
2009-08-16 	136 	29
2009-08-17 	136 	27
2009-08-18 	136 	26
2009-08-19 	136 	26
2009-08-20 	136 	23
2009-08-21 	136 	15
2009-08-22 	136 	13
2009-08-23 	136 	13
2009-08-24 	137 	13
2009-08-25 	137 	13
2009-08-26 	137 	13
2009-08-27 	137 	14
2009-08-28 	137 	13
2009-08-29 	137 	12
2009-08-30 	137 	10
2009-08-31 	137 	10
2009-09-01 	138 	11
2009-09-02 	138 	12
2009-09-03 	138 	11
2009-09-04 	138 	11
2009-09-05 	138 	10
2009-09-06 	138 	10
2009-09-07 	138 	10
2009-09-08 	138 	15
2009-09-09 	138 	18
2009-09-10 	138 	17
2009-09-11 	138 	17
2009-09-12 	138 	18
2009-09-13 	138 	18
2009-09-14 	137 	16
2009-09-15 	137 	16
2009-09-16 	137 	16
2009-09-17 	137 	16
2009-09-18 	138 	21
2009-09-19 	138 	22
2009-09-20 	138 	22
2009-09-21 	138 	22
2009-09-22 	138 	23
2009-09-23 	138 	22
2009-09-24 	139 	24
2009-09-25 	140 	25
2009-09-26 	140 	25
2009-09-27 	140 	25
2009-09-28 	140 	25
2009-09-29 	140 	25
2009-09-30 	140 	25
2009-10-01 	140 	28
2009-10-02 	140 	31
2009-10-03 	140 	31
2009-10-04 	140 	31
2009-10-05 	140 	31
2009-10-06 	140 	32
2009-10-07 	140 	32
2009-10-08 	140 	34
2009-10-09 	140 	36
2009-10-10 	141 	38
2009-10-11 	141 	38
2009-10-12 	141 	38
2009-10-13 	141 	38
2009-10-14 	141 	45
2009-10-15 	140 	48
2009-10-16 	140 	51
2009-10-17 	140 	52
2009-10-18 	140 	52
2009-10-19 	141 	54
2009-10-20 	141 	54
2009-10-21 	141 	54
2009-10-22 	140 	56
2009-10-23 	140 	56
2009-10-24 	140 	54
2009-10-25 	140 	53
2009-10-26 	140 	52
2009-10-27 	140 	52
2009-10-28 	141 	54
2009-10-29 	141 	55
2009-10-30 	141 	55
2009-10-31 	141 	54
2009-11-01 	141 	54
2009-11-02 	142 	55
2009-11-03 	142 	55
2009-11-04 	142 	56
2009-11-05 	143 	57
2009-11-06 	143 	57
2009-11-07 	143 	54
2009-11-08 	143 	53
2009-11-09 	142 	53
2009-11-10 	142 	53
2009-11-11 	142 	53
2009-11-12 	142 	53
2009-11-13 	142 	47
2009-11-14 	142 	43
2009-11-15 	142 	37
2009-11-16 	142 	36
2009-11-17 	142 	35
2009-11-18 	142 	38
2009-11-19 	142 	38
2009-11-20 	142 	38
2009-11-21 	142 	35
2009-11-22 	142 	34
2009-11-23 	142 	34
2009-11-24 	141 	36
2009-11-25 	141 	36
2009-11-26 	141 	35
2009-11-27 	141 	34
2009-11-28 	141 	33
2009-11-29 	141 	31
2009-11-30 	141 	31
2009-12-01 	142 	33
2009-12-02 	143 	33
2009-12-03 	143 	29
2009-12-04 	143 	29
2009-12-05 	143 	32
2009-12-06 	143 	32
2009-12-07 	143 	32
2009-12-08 	142 	32
2009-12-09 	142 	30
2009-12-10 	142 	30
2009-12-11 	143 	32
2009-12-12 	143 	32
2009-12-13 	143 	32
2009-12-14 	143 	33
2009-12-15 	143 	33
2009-12-16 	143 	33
2009-12-17 	144 	34
2009-12-18 	144 	32
2009-12-19 	144 	32
2009-12-20 	145 	32
2009-12-21 	145 	33
2009-12-22 	145 	33
2009-12-23 	146 	34
2009-12-24 	146 	30
2009-12-25 	146 	30
2009-12-26 	147 	31
2009-12-27 	148 	33
2009-12-28 	149 	34
2009-12-29 	149 	34
2009-12-30 	149 	34
2009-12-31 	149 	32
2010-01-01 	149 	32
2010-01-02 	149 	32
2010-01-03 	149 	32
2010-01-04 	149 	26
2010-01-05 	149 	28
2010-01-06 	149 	29
2010-01-07 	149 	26
2010-01-08 	149 	27
2010-01-09 	151 	32
2010-01-10 	151 	30
2010-01-11 	151 	31
2010-01-12 	151 	41
2010-01-13 	151 	41
2010-01-14 	151 	41
2010-01-15 	151 	41
2010-01-16 	151 	41
2010-01-17 	151 	42
2010-01-18 	154 	45
2010-01-19 	154 	44
2010-01-20 	155 	45
2010-01-21 	156 	47
2010-01-22 	156 	47
2010-01-23 	156 	47
2010-01-24 	156 	47
2010-01-25 	157 	51
2010-01-26 	160 	53
2010-01-27 	161 	54
2010-01-28 	162 	55
2010-01-29 	162 	55
2010-01-30 	162 	55
2010-01-31 	162 	55
2010-02-01 	163 	56
2010-02-02 	163 	56
2010-02-03 	163 	56
2010-02-04 	163 	55
2010-02-05 	164 	55
2010-02-06 	163 	55
2010-02-07 	163 	54
2010-02-08 	164 	52
2010-02-09 	164 	51
2010-02-10 	164 	52
2010-02-11 	164 	45
